52.164.121.235 bot - "2024-08-25 04:50:33" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:50:34" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:50:35" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:50:36" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:50:37" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:50:37" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:50:38" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:50:39" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:50:40" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:50:40" https://arj.af/index.php/arj/index 200 ""
66.249.77.199 bot - "2024-08-25 04:59:09" https://arj.af/index.php/arj/article/download/10/11/50 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6533.119 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.77.198 bot - "2024-08-25 05:37:06" https://arj.af/index.php/arj/article/download/30/20/68 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.77.198 bot - "2024-08-25 05:39:20" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
41.67.129.153 - - "2024-08-25 05:54:41" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
43.163.6.124 - - "2024-08-25 06:11:28" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
